group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 1, part 2",,,,,920011.0,ns,10
"day 1, part 2",,,,,2348400.0,ns,20
"day 1, part 2",,,,,2746595.0,ns,30
"day 1, part 2",,,,,4809464.0,ns,40
"day 1, part 2",,,,,5108225.0,ns,50
"day 1, part 2",,,,,6462942.0,ns,60
"day 1, part 2",,,,,6783610.0,ns,70
"day 1, part 2",,,,,8044162.0,ns,80
"day 1, part 2",,,,,8508036.0,ns,90
"day 1, part 2",,,,,9211171.0,ns,100
"day 1, part 2",,,,,13919714.0,ns,110
"day 1, part 2",,,,,14844548.0,ns,120
"day 1, part 2",,,,,12745570.0,ns,130
"day 1, part 2",,,,,13569862.0,ns,140
"day 1, part 2",,,,,14824897.0,ns,150
"day 1, part 2",,,,,15557551.0,ns,160
"day 1, part 2",,,,,16732317.0,ns,170
"day 1, part 2",,,,,17592584.0,ns,180
"day 1, part 2",,,,,19220148.0,ns,190
"day 1, part 2",,,,,20169799.0,ns,200
"day 1, part 2",,,,,22395099.0,ns,210
"day 1, part 2",,,,,24488938.0,ns,220
"day 1, part 2",,,,,23625444.0,ns,230
"day 1, part 2",,,,,24358258.0,ns,240
"day 1, part 2",,,,,24783748.0,ns,250
"day 1, part 2",,,,,26727679.0,ns,260
"day 1, part 2",,,,,30161589.0,ns,270
"day 1, part 2",,,,,29710746.0,ns,280
"day 1, part 2",,,,,29844743.0,ns,290
"day 1, part 2",,,,,29816774.0,ns,300
"day 1, part 2",,,,,29197923.0,ns,310
"day 1, part 2",,,,,31321648.0,ns,320
"day 1, part 2",,,,,33101965.0,ns,330
"day 1, part 2",,,,,33095041.0,ns,340
"day 1, part 2",,,,,34084144.0,ns,350
"day 1, part 2",,,,,37010363.0,ns,360
"day 1, part 2",,,,,35492124.0,ns,370
"day 1, part 2",,,,,35836679.0,ns,380
"day 1, part 2",,,,,37564991.0,ns,390
"day 1, part 2",,,,,41854070.0,ns,400
"day 1, part 2",,,,,41734733.0,ns,410
"day 1, part 2",,,,,41410085.0,ns,420
"day 1, part 2",,,,,43527235.0,ns,430
"day 1, part 2",,,,,60218559.0,ns,440
"day 1, part 2",,,,,62073440.0,ns,450
"day 1, part 2",,,,,60528248.0,ns,460
"day 1, part 2",,,,,46444314.0,ns,470
"day 1, part 2",,,,,44819808.0,ns,480
"day 1, part 2",,,,,46674814.0,ns,490
"day 1, part 2",,,,,49945340.0,ns,500
"day 1, part 2",,,,,57089108.0,ns,510
"day 1, part 2",,,,,51408120.0,ns,520
"day 1, part 2",,,,,52266609.0,ns,530
"day 1, part 2",,,,,51079517.0,ns,540
"day 1, part 2",,,,,52574777.0,ns,550
"day 1, part 2",,,,,60372507.0,ns,560
"day 1, part 2",,,,,58199676.0,ns,570
"day 1, part 2",,,,,61027915.0,ns,580
"day 1, part 2",,,,,60786625.0,ns,590
"day 1, part 2",,,,,58064365.0,ns,600
"day 1, part 2",,,,,57759306.0,ns,610
"day 1, part 2",,,,,59809901.0,ns,620
"day 1, part 2",,,,,60165599.0,ns,630
"day 1, part 2",,,,,67248525.0,ns,640
"day 1, part 2",,,,,88187232.0,ns,650
"day 1, part 2",,,,,90588339.0,ns,660
"day 1, part 2",,,,,74250201.0,ns,670
"day 1, part 2",,,,,74900777.0,ns,680
"day 1, part 2",,,,,71198631.0,ns,690
"day 1, part 2",,,,,66797975.0,ns,700
"day 1, part 2",,,,,73827972.0,ns,710
"day 1, part 2",,,,,69148692.0,ns,720
"day 1, part 2",,,,,67285226.0,ns,730
"day 1, part 2",,,,,70371784.0,ns,740
"day 1, part 2",,,,,69754949.0,ns,750
"day 1, part 2",,,,,105539029.0,ns,760
"day 1, part 2",,,,,102855858.0,ns,770
"day 1, part 2",,,,,104436328.0,ns,780
"day 1, part 2",,,,,72865116.0,ns,790
"day 1, part 2",,,,,73827554.0,ns,800
"day 1, part 2",,,,,78008942.0,ns,810
"day 1, part 2",,,,,81687481.0,ns,820
"day 1, part 2",,,,,82581301.0,ns,830
"day 1, part 2",,,,,77809833.0,ns,840
"day 1, part 2",,,,,79329072.0,ns,850
"day 1, part 2",,,,,83071268.0,ns,860
"day 1, part 2",,,,,82523954.0,ns,870
"day 1, part 2",,,,,83744052.0,ns,880
"day 1, part 2",,,,,97205037.0,ns,890
"day 1, part 2",,,,,122557375.0,ns,900
"day 1, part 2",,,,,101216830.0,ns,910
"day 1, part 2",,,,,88864281.0,ns,920
"day 1, part 2",,,,,87578004.0,ns,930
"day 1, part 2",,,,,94572954.0,ns,940
"day 1, part 2",,,,,98723300.0,ns,950
"day 1, part 2",,,,,95639597.0,ns,960
"day 1, part 2",,,,,137143664.0,ns,970
"day 1, part 2",,,,,141048450.0,ns,980
"day 1, part 2",,,,,139606732.0,ns,990
"day 1, part 2",,,,,135424580.0,ns,1000
