group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 2, part 1",,,,,1365956.0,ns,2
"day 2, part 1",,,,,3086640.0,ns,4
"day 2, part 1",,,,,5498286.0,ns,6
"day 2, part 1",,,,,5955115.0,ns,8
"day 2, part 1",,,,,6901233.0,ns,10
"day 2, part 1",,,,,8774088.0,ns,12
"day 2, part 1",,,,,10394798.0,ns,14
"day 2, part 1",,,,,11484257.0,ns,16
"day 2, part 1",,,,,12931379.0,ns,18
"day 2, part 1",,,,,14287072.0,ns,20
"day 2, part 1",,,,,15208740.0,ns,22
"day 2, part 1",,,,,16835961.0,ns,24
"day 2, part 1",,,,,18443589.0,ns,26
"day 2, part 1",,,,,20945529.0,ns,28
"day 2, part 1",,,,,21346099.0,ns,30
"day 2, part 1",,,,,22259027.0,ns,32
"day 2, part 1",,,,,25158349.0,ns,34
"day 2, part 1",,,,,28134965.0,ns,36
"day 2, part 1",,,,,28098570.0,ns,38
"day 2, part 1",,,,,28981757.0,ns,40
"day 2, part 1",,,,,30575203.0,ns,42
"day 2, part 1",,,,,38461852.0,ns,44
"day 2, part 1",,,,,44563783.0,ns,46
"day 2, part 1",,,,,46613583.0,ns,48
"day 2, part 1",,,,,52435947.0,ns,50
"day 2, part 1",,,,,51693507.0,ns,52
"day 2, part 1",,,,,55353368.0,ns,54
"day 2, part 1",,,,,57816659.0,ns,56
"day 2, part 1",,,,,58389792.0,ns,58
"day 2, part 1",,,,,46820904.0,ns,60
"day 2, part 1",,,,,46667370.0,ns,62
"day 2, part 1",,,,,51098104.0,ns,64
"day 2, part 1",,,,,52967006.0,ns,66
"day 2, part 1",,,,,47963401.0,ns,68
"day 2, part 1",,,,,49017548.0,ns,70
"day 2, part 1",,,,,76355035.0,ns,72
"day 2, part 1",,,,,76427861.0,ns,74
"day 2, part 1",,,,,52384270.0,ns,76
"day 2, part 1",,,,,63396857.0,ns,78
"day 2, part 1",,,,,55951339.0,ns,80
"day 2, part 1",,,,,57350809.0,ns,82
"day 2, part 1",,,,,66391143.0,ns,84
"day 2, part 1",,,,,65380269.0,ns,86
"day 2, part 1",,,,,60221707.0,ns,88
"day 2, part 1",,,,,62777529.0,ns,90
"day 2, part 1",,,,,67689539.0,ns,92
"day 2, part 1",,,,,66955896.0,ns,94
"day 2, part 1",,,,,67579301.0,ns,96
"day 2, part 1",,,,,70303568.0,ns,98
"day 2, part 1",,,,,76352438.0,ns,100
"day 2, part 1",,,,,71096189.0,ns,102
"day 2, part 1",,,,,71565288.0,ns,104
"day 2, part 1",,,,,73130511.0,ns,106
"day 2, part 1",,,,,83546276.0,ns,108
"day 2, part 1",,,,,76741969.0,ns,110
"day 2, part 1",,,,,77301514.0,ns,112
"day 2, part 1",,,,,78658383.0,ns,114
"day 2, part 1",,,,,108088676.0,ns,116
"day 2, part 1",,,,,108377140.0,ns,118
"day 2, part 1",,,,,87981935.0,ns,120
"day 2, part 1",,,,,108597709.0,ns,122
"day 2, part 1",,,,,127771871.0,ns,124
"day 2, part 1",,,,,128896861.0,ns,126
"day 2, part 1",,,,,128007662.0,ns,128
"day 2, part 1",,,,,129347507.0,ns,130
"day 2, part 1",,,,,132219224.0,ns,132
"day 2, part 1",,,,,109051224.0,ns,134
"day 2, part 1",,,,,106035254.0,ns,136
"day 2, part 1",,,,,139297491.0,ns,138
"day 2, part 1",,,,,106694136.0,ns,140
"day 2, part 1",,,,,117021109.0,ns,142
"day 2, part 1",,,,,108440563.0,ns,144
"day 2, part 1",,,,,102774989.0,ns,146
"day 2, part 1",,,,,103890131.0,ns,148
"day 2, part 1",,,,,105879534.0,ns,150
"day 2, part 1",,,,,106431788.0,ns,152
"day 2, part 1",,,,,120670207.0,ns,154
"day 2, part 1",,,,,117108904.0,ns,156
"day 2, part 1",,,,,150105419.0,ns,158
"day 2, part 1",,,,,168957467.0,ns,160
"day 2, part 1",,,,,152955882.0,ns,162
"day 2, part 1",,,,,168987187.0,ns,164
"day 2, part 1",,,,,173273992.0,ns,166
"day 2, part 1",,,,,161034414.0,ns,168
"day 2, part 1",,,,,133929368.0,ns,170
"day 2, part 1",,,,,122725967.0,ns,172
"day 2, part 1",,,,,150807998.0,ns,174
"day 2, part 1",,,,,178537869.0,ns,176
"day 2, part 1",,,,,126063069.0,ns,178
"day 2, part 1",,,,,126017971.0,ns,180
"day 2, part 1",,,,,130783767.0,ns,182
"day 2, part 1",,,,,132450239.0,ns,184
"day 2, part 1",,,,,130821144.0,ns,186
"day 2, part 1",,,,,138583446.0,ns,188
"day 2, part 1",,,,,168346276.0,ns,190
"day 2, part 1",,,,,163182118.0,ns,192
"day 2, part 1",,,,,135261114.0,ns,194
"day 2, part 1",,,,,137248921.0,ns,196
"day 2, part 1",,,,,158812832.0,ns,198
"day 2, part 1",,,,,203165729.0,ns,200
