group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 2, part 2",,,,,1085372.0,ns,1
"day 2, part 2",,,,,2190776.0,ns,2
"day 2, part 2",,,,,3262851.0,ns,3
"day 2, part 2",,,,,4499556.0,ns,4
"day 2, part 2",,,,,5444292.0,ns,5
"day 2, part 2",,,,,6458933.0,ns,6
"day 2, part 2",,,,,7783992.0,ns,7
"day 2, part 2",,,,,8652813.0,ns,8
"day 2, part 2",,,,,10327012.0,ns,9
"day 2, part 2",,,,,11048508.0,ns,10
"day 2, part 2",,,,,11979925.0,ns,11
"day 2, part 2",,,,,13145356.0,ns,12
"day 2, part 2",,,,,14007903.0,ns,13
"day 2, part 2",,,,,15069390.0,ns,14
"day 2, part 2",,,,,15961191.0,ns,15
"day 2, part 2",,,,,17058982.0,ns,16
"day 2, part 2",,,,,18051795.0,ns,17
"day 2, part 2",,,,,19428553.0,ns,18
"day 2, part 2",,,,,20677590.0,ns,19
"day 2, part 2",,,,,21681859.0,ns,20
"day 2, part 2",,,,,21848519.0,ns,21
"day 2, part 2",,,,,23074845.0,ns,22
"day 2, part 2",,,,,24733724.0,ns,23
"day 2, part 2",,,,,25783823.0,ns,24
"day 2, part 2",,,,,26017602.0,ns,25
"day 2, part 2",,,,,27281715.0,ns,26
"day 2, part 2",,,,,27900693.0,ns,27
"day 2, part 2",,,,,29167881.0,ns,28
"day 2, part 2",,,,,30619750.0,ns,29
"day 2, part 2",,,,,31208830.0,ns,30
"day 2, part 2",,,,,32615889.0,ns,31
"day 2, part 2",,,,,33508452.0,ns,32
"day 2, part 2",,,,,35498312.0,ns,33
"day 2, part 2",,,,,35691601.0,ns,34
"day 2, part 2",,,,,35933330.0,ns,35
"day 2, part 2",,,,,36634760.0,ns,36
"day 2, part 2",,,,,37356995.0,ns,37
"day 2, part 2",,,,,39738552.0,ns,38
"day 2, part 2",,,,,40787022.0,ns,39
"day 2, part 2",,,,,41402985.0,ns,40
"day 2, part 2",,,,,42013566.0,ns,41
"day 2, part 2",,,,,42547168.0,ns,42
"day 2, part 2",,,,,43782595.0,ns,43
"day 2, part 2",,,,,44582629.0,ns,44
"day 2, part 2",,,,,45876402.0,ns,45
"day 2, part 2",,,,,49557626.0,ns,46
"day 2, part 2",,,,,47968670.0,ns,47
"day 2, part 2",,,,,48839014.0,ns,48
"day 2, part 2",,,,,50526153.0,ns,49
"day 2, part 2",,,,,51318677.0,ns,50
"day 2, part 2",,,,,51900312.0,ns,51
"day 2, part 2",,,,,54078995.0,ns,52
"day 2, part 2",,,,,53865146.0,ns,53
"day 2, part 2",,,,,54904182.0,ns,54
"day 2, part 2",,,,,56103605.0,ns,55
"day 2, part 2",,,,,57575548.0,ns,56
"day 2, part 2",,,,,58368955.0,ns,57
"day 2, part 2",,,,,59753045.0,ns,58
"day 2, part 2",,,,,60707123.0,ns,59
"day 2, part 2",,,,,61457090.0,ns,60
"day 2, part 2",,,,,64059837.0,ns,61
"day 2, part 2",,,,,64998472.0,ns,62
"day 2, part 2",,,,,69171553.0,ns,63
"day 2, part 2",,,,,66715816.0,ns,64
"day 2, part 2",,,,,66933105.0,ns,65
"day 2, part 2",,,,,67022883.0,ns,66
"day 2, part 2",,,,,69913122.0,ns,67
"day 2, part 2",,,,,69089851.0,ns,68
"day 2, part 2",,,,,73809981.0,ns,69
"day 2, part 2",,,,,75480817.0,ns,70
"day 2, part 2",,,,,72285166.0,ns,71
"day 2, part 2",,,,,73885438.0,ns,72
"day 2, part 2",,,,,74019201.0,ns,73
"day 2, part 2",,,,,76567208.0,ns,74
"day 2, part 2",,,,,81225968.0,ns,75
"day 2, part 2",,,,,93071827.0,ns,76
"day 2, part 2",,,,,85628063.0,ns,77
"day 2, part 2",,,,,86933125.0,ns,78
"day 2, part 2",,,,,87194637.0,ns,79
"day 2, part 2",,,,,88461175.0,ns,80
"day 2, part 2",,,,,86597243.0,ns,81
"day 2, part 2",,,,,88682591.0,ns,82
"day 2, part 2",,,,,90716591.0,ns,83
"day 2, part 2",,,,,90014037.0,ns,84
"day 2, part 2",,,,,91930944.0,ns,85
"day 2, part 2",,,,,88253985.0,ns,86
"day 2, part 2",,,,,95541207.0,ns,87
"day 2, part 2",,,,,98910112.0,ns,88
"day 2, part 2",,,,,100040010.0,ns,89
"day 2, part 2",,,,,97927534.0,ns,90
"day 2, part 2",,,,,96026777.0,ns,91
"day 2, part 2",,,,,110433689.0,ns,92
"day 2, part 2",,,,,97180633.0,ns,93
"day 2, part 2",,,,,98885683.0,ns,94
"day 2, part 2",,,,,100465142.0,ns,95
"day 2, part 2",,,,,105451314.0,ns,96
"day 2, part 2",,,,,103353518.0,ns,97
"day 2, part 2",,,,,105390723.0,ns,98
"day 2, part 2",,,,,100473237.0,ns,99
"day 2, part 2",,,,,101905329.0,ns,100
