group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,1085718.0,ns,36
fib 20,,,,,2225188.0,ns,72
fib 20,,,,,3739305.0,ns,108
fib 20,,,,,4217273.0,ns,144
fib 20,,,,,5202549.0,ns,180
fib 20,,,,,5432565.0,ns,216
fib 20,,,,,6311454.0,ns,252
fib 20,,,,,8461916.0,ns,288
fib 20,,,,,9322446.0,ns,324
fib 20,,,,,10295829.0,ns,360
fib 20,,,,,11851342.0,ns,396
fib 20,,,,,11477853.0,ns,432
fib 20,,,,,13464297.0,ns,468
fib 20,,,,,14474075.0,ns,504
fib 20,,,,,15104533.0,ns,540
fib 20,,,,,16852417.0,ns,576
fib 20,,,,,18123124.0,ns,612
fib 20,,,,,18192681.0,ns,648
fib 20,,,,,18612470.0,ns,684
fib 20,,,,,19500997.0,ns,720
fib 20,,,,,22228136.0,ns,756
fib 20,,,,,22023379.0,ns,792
fib 20,,,,,22808356.0,ns,828
fib 20,,,,,23453992.0,ns,864
fib 20,,,,,20330783.0,ns,900
fib 20,,,,,21952006.0,ns,936
fib 20,,,,,22408868.0,ns,972
fib 20,,,,,26334570.0,ns,1008
fib 20,,,,,28597057.0,ns,1044
fib 20,,,,,33078884.0,ns,1080
fib 20,,,,,29753417.0,ns,1116
fib 20,,,,,26501966.0,ns,1152
fib 20,,,,,28422903.0,ns,1188
fib 20,,,,,33310456.0,ns,1224
fib 20,,,,,33339794.0,ns,1260
fib 20,,,,,31693117.0,ns,1296
fib 20,,,,,31440023.0,ns,1332
fib 20,,,,,32136089.0,ns,1368
fib 20,,,,,34024127.0,ns,1404
fib 20,,,,,34836664.0,ns,1440
fib 20,,,,,39893379.0,ns,1476
fib 20,,,,,37947756.0,ns,1512
fib 20,,,,,37605888.0,ns,1548
fib 20,,,,,44250259.0,ns,1584
fib 20,,,,,44394886.0,ns,1620
fib 20,,,,,48243069.0,ns,1656
fib 20,,,,,47380008.0,ns,1692
fib 20,,,,,45052058.0,ns,1728
fib 20,,,,,46160107.0,ns,1764
fib 20,,,,,42990688.0,ns,1800
fib 20,,,,,46221625.0,ns,1836
fib 20,,,,,51597072.0,ns,1872
fib 20,,,,,54535672.0,ns,1908
fib 20,,,,,51316700.0,ns,1944
fib 20,,,,,51908044.0,ns,1980
fib 20,,,,,51366437.0,ns,2016
fib 20,,,,,49614450.0,ns,2052
fib 20,,,,,51538394.0,ns,2088
fib 20,,,,,50331152.0,ns,2124
fib 20,,,,,54026322.0,ns,2160
fib 20,,,,,59347173.0,ns,2196
fib 20,,,,,60632350.0,ns,2232
fib 20,,,,,56866611.0,ns,2268
fib 20,,,,,64265846.0,ns,2304
fib 20,,,,,58539837.0,ns,2340
fib 20,,,,,62448005.0,ns,2376
fib 20,,,,,70297839.0,ns,2412
fib 20,,,,,66775132.0,ns,2448
fib 20,,,,,60043521.0,ns,2484
fib 20,,,,,62944846.0,ns,2520
fib 20,,,,,66431932.0,ns,2556
fib 20,,,,,74005274.0,ns,2592
fib 20,,,,,67433320.0,ns,2628
fib 20,,,,,67347951.0,ns,2664
fib 20,,,,,70706135.0,ns,2700
fib 20,,,,,71304185.0,ns,2736
fib 20,,,,,73756244.0,ns,2772
fib 20,,,,,70322974.0,ns,2808
fib 20,,,,,78337850.0,ns,2844
fib 20,,,,,80447454.0,ns,2880
fib 20,,,,,82828182.0,ns,2916
fib 20,,,,,78408557.0,ns,2952
fib 20,,,,,87291113.0,ns,2988
fib 20,,,,,86398217.0,ns,3024
fib 20,,,,,88466027.0,ns,3060
fib 20,,,,,89084332.0,ns,3096
fib 20,,,,,82560453.0,ns,3132
fib 20,,,,,76710770.0,ns,3168
fib 20,,,,,80097876.0,ns,3204
fib 20,,,,,83171282.0,ns,3240
fib 20,,,,,81708950.0,ns,3276
fib 20,,,,,83437266.0,ns,3312
fib 20,,,,,84954786.0,ns,3348
fib 20,,,,,89237076.0,ns,3384
fib 20,,,,,96565452.0,ns,3420
fib 20,,,,,104675134.0,ns,3456
fib 20,,,,,97535230.0,ns,3492
fib 20,,,,,94438885.0,ns,3528
fib 20,,,,,89989349.0,ns,3564
fib 20,,,,,91785277.0,ns,3600
