group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 3, part 2",,,,,51985856.0,ns,10
"day 3, part 2",,,,,60787692.0,ns,10
"day 3, part 2",,,,,57598625.0,ns,10
"day 3, part 2",,,,,54244587.0,ns,10
"day 3, part 2",,,,,53041466.0,ns,10
"day 3, part 2",,,,,50202274.0,ns,10
"day 3, part 2",,,,,49685961.0,ns,10
"day 3, part 2",,,,,51894897.0,ns,10
"day 3, part 2",,,,,59141110.0,ns,10
"day 3, part 2",,,,,60210950.0,ns,10
"day 3, part 2",,,,,62863867.0,ns,10
"day 3, part 2",,,,,48400595.0,ns,10
"day 3, part 2",,,,,52537710.0,ns,10
"day 3, part 2",,,,,61064058.0,ns,10
"day 3, part 2",,,,,55769097.0,ns,10
"day 3, part 2",,,,,50764558.0,ns,10
"day 3, part 2",,,,,50524281.0,ns,10
"day 3, part 2",,,,,49767572.0,ns,10
"day 3, part 2",,,,,48148616.0,ns,10
"day 3, part 2",,,,,48798182.0,ns,10
"day 3, part 2",,,,,48677410.0,ns,10
"day 3, part 2",,,,,46761660.0,ns,10
"day 3, part 2",,,,,46945048.0,ns,10
"day 3, part 2",,,,,47460211.0,ns,10
"day 3, part 2",,,,,48258311.0,ns,10
"day 3, part 2",,,,,51911804.0,ns,10
"day 3, part 2",,,,,51181725.0,ns,10
"day 3, part 2",,,,,57067841.0,ns,10
"day 3, part 2",,,,,50344354.0,ns,10
"day 3, part 2",,,,,48939092.0,ns,10
"day 3, part 2",,,,,47754784.0,ns,10
"day 3, part 2",,,,,48628759.0,ns,10
"day 3, part 2",,,,,48208681.0,ns,10
"day 3, part 2",,,,,47773110.0,ns,10
"day 3, part 2",,,,,48857180.0,ns,10
"day 3, part 2",,,,,57350351.0,ns,10
"day 3, part 2",,,,,54597861.0,ns,10
"day 3, part 2",,,,,49053372.0,ns,10
"day 3, part 2",,,,,48366939.0,ns,10
"day 3, part 2",,,,,47195203.0,ns,10
"day 3, part 2",,,,,49954802.0,ns,10
"day 3, part 2",,,,,50785696.0,ns,10
"day 3, part 2",,,,,48793001.0,ns,10
"day 3, part 2",,,,,50903993.0,ns,10
"day 3, part 2",,,,,49514879.0,ns,10
"day 3, part 2",,,,,51085270.0,ns,10
"day 3, part 2",,,,,53992570.0,ns,10
"day 3, part 2",,,,,52312200.0,ns,10
"day 3, part 2",,,,,50105533.0,ns,10
"day 3, part 2",,,,,48169705.0,ns,10
"day 3, part 2",,,,,48472839.0,ns,10
"day 3, part 2",,,,,47447549.0,ns,10
"day 3, part 2",,,,,47909685.0,ns,10
"day 3, part 2",,,,,47713806.0,ns,10
"day 3, part 2",,,,,48070567.0,ns,10
"day 3, part 2",,,,,47945690.0,ns,10
"day 3, part 2",,,,,49396463.0,ns,10
"day 3, part 2",,,,,58577963.0,ns,10
"day 3, part 2",,,,,53698109.0,ns,10
"day 3, part 2",,,,,51537819.0,ns,10
"day 3, part 2",,,,,57402124.0,ns,10
"day 3, part 2",,,,,54190218.0,ns,10
"day 3, part 2",,,,,62682259.0,ns,10
"day 3, part 2",,,,,52656882.0,ns,10
"day 3, part 2",,,,,56250627.0,ns,10
"day 3, part 2",,,,,64409260.0,ns,10
"day 3, part 2",,,,,82407038.0,ns,10
"day 3, part 2",,,,,79686687.0,ns,10
"day 3, part 2",,,,,82694249.0,ns,10
"day 3, part 2",,,,,71245913.0,ns,10
"day 3, part 2",,,,,74410261.0,ns,10
"day 3, part 2",,,,,63210358.0,ns,10
"day 3, part 2",,,,,51619411.0,ns,10
"day 3, part 2",,,,,49900209.0,ns,10
"day 3, part 2",,,,,57091732.0,ns,10
"day 3, part 2",,,,,60538225.0,ns,10
"day 3, part 2",,,,,59514301.0,ns,10
"day 3, part 2",,,,,56530459.0,ns,10
"day 3, part 2",,,,,56396892.0,ns,10
"day 3, part 2",,,,,54925026.0,ns,10
"day 3, part 2",,,,,51535293.0,ns,10
"day 3, part 2",,,,,52401676.0,ns,10
"day 3, part 2",,,,,54553407.0,ns,10
"day 3, part 2",,,,,51113666.0,ns,10
"day 3, part 2",,,,,50278838.0,ns,10
"day 3, part 2",,,,,62765189.0,ns,10
"day 3, part 2",,,,,59529404.0,ns,10
"day 3, part 2",,,,,55971190.0,ns,10
"day 3, part 2",,,,,56368624.0,ns,10
"day 3, part 2",,,,,55169031.0,ns,10
"day 3, part 2",,,,,56551377.0,ns,10
"day 3, part 2",,,,,52657204.0,ns,10
"day 3, part 2",,,,,55086336.0,ns,10
"day 3, part 2",,,,,52687260.0,ns,10
"day 3, part 2",,,,,59622971.0,ns,10
"day 3, part 2",,,,,57357336.0,ns,10
"day 3, part 2",,,,,52339312.0,ns,10
"day 3, part 2",,,,,52909016.0,ns,10
"day 3, part 2",,,,,51445200.0,ns,10
"day 3, part 2",,,,,60283075.0,ns,10
