group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 4, part 1",,,,,1477010.0,ns,2
"day 4, part 1",,,,,2624290.0,ns,4
"day 4, part 1",,,,,4643481.0,ns,6
"day 4, part 1",,,,,4543333.0,ns,8
"day 4, part 1",,,,,6447058.0,ns,10
"day 4, part 1",,,,,8062050.0,ns,12
"day 4, part 1",,,,,8220105.0,ns,14
"day 4, part 1",,,,,10058859.0,ns,16
"day 4, part 1",,,,,11008151.0,ns,18
"day 4, part 1",,,,,12417353.0,ns,20
"day 4, part 1",,,,,13818336.0,ns,22
"day 4, part 1",,,,,15182966.0,ns,24
"day 4, part 1",,,,,16009793.0,ns,26
"day 4, part 1",,,,,17416710.0,ns,28
"day 4, part 1",,,,,18047567.0,ns,30
"day 4, part 1",,,,,19174064.0,ns,32
"day 4, part 1",,,,,21030775.0,ns,34
"day 4, part 1",,,,,21963574.0,ns,36
"day 4, part 1",,,,,23916060.0,ns,38
"day 4, part 1",,,,,24602368.0,ns,40
"day 4, part 1",,,,,26378911.0,ns,42
"day 4, part 1",,,,,26350242.0,ns,44
"day 4, part 1",,,,,28114054.0,ns,46
"day 4, part 1",,,,,29577203.0,ns,48
"day 4, part 1",,,,,32798656.0,ns,50
"day 4, part 1",,,,,35760162.0,ns,52
"day 4, part 1",,,,,36601360.0,ns,54
"day 4, part 1",,,,,35583782.0,ns,56
"day 4, part 1",,,,,36729624.0,ns,58
"day 4, part 1",,,,,37268828.0,ns,60
"day 4, part 1",,,,,38154794.0,ns,62
"day 4, part 1",,,,,39456612.0,ns,64
"day 4, part 1",,,,,41644617.0,ns,66
"day 4, part 1",,,,,41903423.0,ns,68
"day 4, part 1",,,,,44054494.0,ns,70
"day 4, part 1",,,,,45009099.0,ns,72
"day 4, part 1",,,,,46950033.0,ns,74
"day 4, part 1",,,,,51162784.0,ns,76
"day 4, part 1",,,,,56178412.0,ns,78
"day 4, part 1",,,,,54814339.0,ns,80
"day 4, part 1",,,,,51160087.0,ns,82
"day 4, part 1",,,,,52872594.0,ns,84
"day 4, part 1",,,,,53390039.0,ns,86
"day 4, part 1",,,,,55387736.0,ns,88
"day 4, part 1",,,,,66589923.0,ns,90
"day 4, part 1",,,,,62756933.0,ns,92
"day 4, part 1",,,,,61075100.0,ns,94
"day 4, part 1",,,,,63881004.0,ns,96
"day 4, part 1",,,,,68822955.0,ns,98
"day 4, part 1",,,,,65524011.0,ns,100
"day 4, part 1",,,,,66223215.0,ns,102
"day 4, part 1",,,,,67636853.0,ns,104
"day 4, part 1",,,,,78430265.0,ns,106
"day 4, part 1",,,,,75083641.0,ns,108
"day 4, part 1",,,,,69574093.0,ns,110
"day 4, part 1",,,,,77757565.0,ns,112
"day 4, part 1",,,,,73646541.0,ns,114
"day 4, part 1",,,,,79671842.0,ns,116
"day 4, part 1",,,,,77748681.0,ns,118
"day 4, part 1",,,,,76611511.0,ns,120
"day 4, part 1",,,,,78679944.0,ns,122
"day 4, part 1",,,,,79956918.0,ns,124
"day 4, part 1",,,,,77477684.0,ns,126
"day 4, part 1",,,,,80015144.0,ns,128
"day 4, part 1",,,,,85754483.0,ns,130
"day 4, part 1",,,,,89182100.0,ns,132
"day 4, part 1",,,,,83666921.0,ns,134
"day 4, part 1",,,,,84537144.0,ns,136
"day 4, part 1",,,,,93229688.0,ns,138
"day 4, part 1",,,,,99618880.0,ns,140
"day 4, part 1",,,,,107271119.0,ns,142
"day 4, part 1",,,,,98014653.0,ns,144
"day 4, part 1",,,,,97634852.0,ns,146
"day 4, part 1",,,,,103551474.0,ns,148
"day 4, part 1",,,,,97856145.0,ns,150
"day 4, part 1",,,,,93146179.0,ns,152
"day 4, part 1",,,,,96408624.0,ns,154
"day 4, part 1",,,,,112762397.0,ns,156
"day 4, part 1",,,,,119240447.0,ns,158
"day 4, part 1",,,,,106785610.0,ns,160
"day 4, part 1",,,,,106902086.0,ns,162
"day 4, part 1",,,,,111766910.0,ns,164
"day 4, part 1",,,,,104303420.0,ns,166
"day 4, part 1",,,,,104642028.0,ns,168
"day 4, part 1",,,,,116131512.0,ns,170
"day 4, part 1",,,,,111819334.0,ns,172
"day 4, part 1",,,,,121173122.0,ns,174
"day 4, part 1",,,,,115331092.0,ns,176
"day 4, part 1",,,,,110279363.0,ns,178
"day 4, part 1",,,,,116549936.0,ns,180
"day 4, part 1",,,,,124236701.0,ns,182
"day 4, part 1",,,,,115640581.0,ns,184
"day 4, part 1",,,,,114094708.0,ns,186
"day 4, part 1",,,,,114998786.0,ns,188
"day 4, part 1",,,,,138527740.0,ns,190
"day 4, part 1",,,,,146636940.0,ns,192
"day 4, part 1",,,,,135358658.0,ns,194
"day 4, part 1",,,,,112015521.0,ns,196
"day 4, part 1",,,,,131555361.0,ns,198
"day 4, part 1",,,,,117607830.0,ns,200
